"Carimbo de data/hora","Onde você recarrega com mais frequência?","Com que frequência você usa recarga em local compartilhado (condomínio, empresa ou campus)?","Como você normalmente inicia uma sessão de recarga nos locais compartilhados?","Como é (ou deveria ser) o controle de uso e cobrança desses locais compartilhados?","Qual o maior problema na recarga compartilhada?","Como você prefere ser cobrado?","Qual funcionalidade você usaria com mais frequência num app de recarga compartilhada? ","Você já passou por alguma dessas situações?","Quais aplicativos de recarga você utiliza?","Descreva a pior experiência que você já teve (ou evita) ao recarregar em local compartilhado.","O que deveria funcionar melhor na recarga compartilhada para facilitar seu dia a dia? (2 ou 3 pontos)"
"2026/05/26 6:36:04 AM GMT-3","Rede pública (shopping, posto, etc.)","Algumas vezes por mês","App do carregador ou da operadora","Cobrança por kWh","Fila, vaga ocupada ou conflito de horário","Por kWh consumido","Ver consumo da sessão em tempo real (kWh e potência);Histórico de sessões e gasto mensal;Alerta quando a carga terminar","Sessão interrompida no meio","Futuromobi, Byd Recharge, Tupi, shell recharge, Zeletric","Fila ou vaga ocupada sem estar carregando.","Agendamento de horário, respeito a vaga quando o carregamento acabar."
"2026/05/28 4:51:16 PM GMT-3","Vaga na empresa","Algumas vezes por mês","Conecto e carrego direto, sem identificação","Uso livre, sem cobrança;Cobrança por kWh;Assinatura mensal","Fila, vaga ocupada ou conflito de horário;Sessão interrompida ou carregador com falha","Por kWh consumido","Ver consumo da sessão em tempo real (kWh e potência);Reservar horário de recarga;Previsão de custo antes/durante a recarga","Sessão interrompida no meio;Conflito de horário ou fila com outro usuário","Mais de 15 apps","Equipamentos em falhas, já aconteceu bastante","Carregamento rápido e de preferência com algum coffee shop ao lado :)"
"2026/05/29 11:19:48 AM GMT-3","Rede pública (shopping, posto, etc.)","Nunca usei recarga compartilhada","App do carregador ou da operadora","Cobrança por kWh;Abatimento do que seria cobrado se pago o estacionamento, compras no mercado","Fila, vaga ocupada ou conflito de horário;Falta de app ou histórico das sessões;Sessão interrompida ou carregador com falha","Por kWh consumido","Histórico de sessões e gasto mensal;Alerta quando a carga terminar;Previsão de custo antes/durante a recarga","Vaga ocupada sem carregamento ativo;Não consegui saber quanto paguei ou consumi;Conflito de horário ou fila com outro usuário","Power2Go, PlugShare","Vaga ocupada por carros não EV/PHEV, vaga ocupada sem carregamento ativo","Rotatividade e comunicação de término de carga, velocidade de carregamento/previsão"
"2026/05/29 11:24:05 AM GMT-3","Rede pública (shopping, posto, etc.)","Nunca usei recarga compartilhada","App do carregador ou da operadora","Uso livre, sem cobrança;Cobrança por kWh","não usamos esse tipo de recarga.","Por kWh consumido","Ver consumo da sessão em tempo real (kWh e potência);Histórico de sessões e gasto mensal;Alerta quando a carga terminar","Nenhuma das anteriores","Tupi, Move, Plugshare, BYD, Karg, ","não tive experiências em recargas compartilhadas. ","não tive experiências em recargas compartilhadas. "
"2026/05/29 12:22:30 PM GMT-3","Estacionamento corporativo","Algumas vezes por semana","Há uma pessoa responsável por organizar a ""fila"" de carros que serão carregados e por fazer o rodízio deles no carregador.","Uso livre, sem cobrança","Fila, vaga ocupada ou conflito de horário","Por kWh consumido","Ver consumo da sessão em tempo real (kWh e potência);Previsão de custo antes/durante a recarga","Nenhuma das anteriores","Não utilizo nenhum. Acompanho o início e fim das recargas através do aplicativo da BYD (recebo notificação quando a carga inicia e quando ela finaliza)","Como não me impactou, não foi algo ruim, mas já deixei o carro para carregar e simplesmente não carregaram. Argumentaram que no sistema deles meu carro foi levado para a base de carregamento, porém não havia sido.","Hoje funciona muito bem da forma que uso. Porém evito utilizar em lugares onde há cobrança pois acho o valor muito elevado."
"2026/05/29 1:29:09 PM GMT-3","Rede pública (shopping, posto, etc.)","Algumas vezes por mês","App do carregador ou da operadora","Cobrança por kWh","Fila, vaga ocupada ou conflito de horário;muitos apps diferentes, as vezes não dá pra saber que existe uma estação de recarga porque ela não aparece no app principal que eu uso (BYD recharge)","Por kWh consumido","Reservar horário de recarga;Alerta quando a carga terminar","Vaga ocupada sem carregamento ativo;Sessão interrompida no meio;Conflito de horário ou fila com outro usuário","BYD Recharge ","conectar e a estação estar fora do ar ou não avisar que o carregamento foi interrompido","mais facilidade ao encontrar pontos disponíveis no mesmo app e poder reservar o ponto "
"2026/05/29 3:12:08 PM GMT-3","Em casa (vaga própria)","Algumas vezes por mês","App do carregador ou da operadora","Uso livre, sem cobrança;Cobrança por kWh","Sempre um app diferente pra cada carregador","Por kWh consumido","Ver consumo da sessão em tempo real (kWh e potência);Histórico de sessões e gasto mensal;Reservar horário de recarga","Nenhuma das anteriores","Tupi, Volvo Car","Não ter nada pra fazer (nenhuma loja, nada)","Ter disponibilidade de plugues e algum ponto de apoio pra aguardar"
"2026/06/01 9:25:53 AM GMT-3","Estacionamento corporativo","Algumas vezes por mês","App do carregador ou da operadora","Cobrança por kWh;Cobrança por tempo;Cobrança por KWh COM MULTA para tempo parado após carregamento completo","Fila, vaga ocupada ou conflito de horário;Normalmente apps necessitam de internet, e em garagens em subsolo já tive problema pra começar a carregar","Por kWh consumido","Reservar horário de recarga;Alerta quando a carga terminar;Previsão de custo antes/durante a recarga","Vaga ocupada sem carregamento ativo;Conflito de horário ou fila com outro usuário","Parkstrom e ChargeOn","Demorar 15min pra iniciar a carga porque o app não iniciava direito","Mais pontos, mais rapidez pra iniciar o carregamento (precisa de um app mesmo?)"
"2026/06/01 4:21:13 PM GMT-3","Estacionamento corporativo","Algumas vezes por mês","App do carregador ou da operadora","Cobrança por kWh;Cobrança por tempo","Fila, vaga ocupada ou conflito de horário;Sessão interrompida ou carregador com falha","Por kWh consumido","Ver consumo da sessão em tempo real (kWh e potência);Reservar horário de recarga;Alerta quando a carga terminar","Vaga ocupada sem carregamento ativo;Conflito de horário ou fila com outro usuário","EasyVoltEletroposto, Spott, Eletrograal+, ChargeOn, KARG","Acho que tanto chegar num lugar na esperança de carregar e não ter vaga, e não quanto não conseguir olhar antes, porque cada novo lugar que vou carregar exige um aplicativo novo pra cadastrar.","1. App unificado pra carregar em qualquer lugar; 2. mais pontos em lugares menores (não só Shoppings e Mercados grandes); 3. uma maneira mais fácil de instalar pontos de carregamento em prédios mais antigos."
"2026/06/09 5:26:48 PM GMT-3","Rede pública (shopping, posto, etc.)","Nunca usei recarga compartilhada","Não se aplica","Uso livre, sem cobrança;Cobrança por kWh","Fila, vaga ocupada ou conflito de horário","Por kWh consumido","Histórico de sessões e gasto mensal;Alerta quando a carga terminar;Comparar meu consumo com meses anteriores","Nenhuma das anteriores","tupi","nenhuma","histórico, gasto mensal e alertas"
